label,study_and_condition
0, saracatinib recurrent verrucous carcinoma larynx diagnosis patients must agree use adequate birth control duration participation at least eight weeks after discontinuation drug
1, stem cell transplantation hodgkin lymphoma diagnosis history congenital hematologic immunologic metabolic disorder which estimation pi poses prohibitive risk recipient
0, lenograstim recurrent adult diffuse mixed cell lymphoma diagnosis creatinine clearance crcl greater fifty ml per minute all tests must be performed within twenty eight days prior registration
0, doxorubicin stage iii diffuse large cell lymphoma diagnosis stages ii bulky disease defined mass size more ten cm stage iii iv ann arbor staging patients stage stage ii non bulky disease excluded from this study
1, poly i c prostate cancer diagnosis unresolved iraes following prior biological therapy except that stable managed iraes may be acceptable hypothyroidism hypopituitarism on appropriate replacement
1, bevacizumab stage iiic primary peritoneal cancer diagnosis uncontrolled hypertension defined systolic greater one hundred fifty mm hg diastolic greater ninety mmhg
0, carboplatin stage iib uterine sarcoma diagnosis patients must be entered no more twelve weeks post operatively
0, vidarabine stage iv childhood small noncleaved cell lymphoma diagnosis acute myeloid leukemia aml
1, dexamethasone phosphate non secretory multiple myeloma
1, microwave ablation hepatic neoplasms diagnosis severe renal dysfunction creatinine clearance less forty ml min
1, liposomal doxorubicin breast neoplasms diagnosis concurrent treatment other experimental drugs
0, sirolimus lymphoma diagnosis myelofibrosis other myeloproliferative disorders
0, methylprednisolone acetate primary peritoneal cancer diagnosis creatinine cr less equal doc mg dl
1, antibodies monoclonal stage iiib non small cell lung cancer diagnosis significant uncontrolled cardiac disease within past six months including any following
1, cyclophosphamide metachromatic leukodystrophy mld diagnosis evidence human immunodeficiency virus hiv infection known hiv positive serology
0, podophyllotoxin stage iiib hodgkin lymphoma diagnosis male doc mg dl female doc mg dl
1, antibodies monoclonal fallopian tube clear cell adenocarcinoma diagnosis history severe allergic anaphylactic other hypersensitivity reactions chimeric humanized antibodies fusion proteins
0, cyclin dependent kinase inhibitor proteins triple negative breast cancer diagnosis male subjects childbearing potential must agree use an adequate method contraception starting first dose therapy through one hundred twenty days after last dose therapy
0, prophylactic postoperative radiation therapy esophageal cancer tnm staging primary tumor tthree diagnosis regular follow up
1, olaparib administration other simultaneous chemotherapy drugs any other anticancer therapy anti neoplastic hormonal therapy simultaneous radiotherapy during trial treatment period hormonal replacement therapy is permitted steroidal antiemetics
0, antibodies kidney cancer diagnosis all subjects must have archived current tissue from primary metastatic focus available psma determination
0, fludarabine phosphate recurrent grade two follicular lymphoma diagnosis donor
1, immunoglobulin g recurrent primary peritoneal carcinoma diagnosis has diagnosis immunodeficiency is receiving systemic steroid therapy any other form immunosuppressive therapy within seven days prior first dose trial treatment is taking any other medication that might affect immune function
0, fludarabine stage grade one follicular lymphoma diagnosis they have been treated more one regimen haart total at least six months duration
1, laboratory biomarker analysis refractory diffuse large cell lymphoma diagnosis left ventricular ejection fraction lvef less fifty regardless whether there symptoms heart failure
0, albumin bound paclitaxel cervical adenosarcoma diagnosis platelet count plt greater equal one hundred zero mm three
0, staurosporine lymphoma diagnosis no prior allergic reactions compounds similar chemical biological composition ucn one other agents this study
1, folic acid metastatic colorectal cancer diagnosis known history alcohol drug abuse
1, mycophenolate mofetil contiguous stage ii adult diffuse small cleaved cell lymphoma diagnosis patient rapidly progressive aggressive nhl unless minimal disease state
0, tlr agonist sd recurrent follicular lymphoma diagnosis absolute neutrophil count anc greater equal one thousand mm three independent growth factor support
0, immunoglobulins refractory small lymphocytic lymphoma diagnosis females childbearing potential fcbp must have negative serum urine pregnancy test sensitivity at least twenty five miu ml within ten fourteen days again within twenty four hours prior starting cycle one lenalidomide further they must either commit continued abstinence from heterosexual intercourse begin two acceptable methods birth control
1, dexamethasone multiple myeloma diagnosis serum clinical chemistry
0, sorafenib however if more one symptomatic bone metastasis is identified one will be chosen index lesion reporting purposes
1, doxorubicin ovarian endometrioid adenocarcinoma diagnosis patients eczema psoriasis lichen simplex chronicus vitiligo dermatologic manifestations only patients psoriatic arthritis would be excluded permitted provided that they meet following conditions
0, cyclophosphamide primary peritoneal carcinoma diagnosis no prior stroke
0, trastuzumab cepseventeen ratio greater two biopsy proven breast cancer
0, camptothecin brain central nervous system tumors diagnosis disease characteristics
1, fludarabine phosphate patients active non hematologic malignancies except non melanoma skin cancers this exclusion does not apply patients non hematologic malignancies that not require therapy
1, carboplatin stage iva uterine sarcoma diagnosis total serum bilirubin greater doc mg dl
0, liposomal doxorubicin stage ii enteropathy associated cell lymphoma diagnosis development erythema nodosum if characterized by desquamating rash while taking thalidomide lenalidomide similar drugs
0, levoleucovorin stage iv esophageal cancer diagnosis locally advanced metastatic disease that is inoperable not amenable curative therapy linitis plastica is permitted
1, fludarabine phosphate noncontiguous stage ii small lymphocytic lymphoma diagnosis donor
1, dynamic contrast enhanced magnetic resonance imaging recurrent renal cell cancer diagnosis subjects recent dvt who have been treated therapeutic anti coagulating agents at least six weeks eligible
0, methylprednisolone testicular germ cell tumor diagnosis no systemic immunosuppression tapered stopped treatment leukemic relapse minimal residual disease
0, rituximab stage iv grade one follicular lymphoma diagnosis able take aspirin one three hundred twenty five mg daily prophylactic anticoagulation patients intolerant asa may use warfarin low molecular weight heparin
1, rituximab adult burkitt lymphoma diagnosis patients who have known allergy any medications their analogues excipients various formulations any agent not eligible
0, oxaliplatin recurrent childhood ependymoma diagnosis creatinine clearance radioisotope glomerular filtration rate greater seventy ml min
1, antibodies monoclonal fallopian tube transitional cell carcinoma diagnosis any following
0, paclitaxel recurrent breast carcinoma diagnosis patient following prior concurrent diagnoses eligible
